,rating,num_beds,num_bath,property_type,price,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,price_range
0,4.99,1.0,1.0,Condo,114,Hyde Park,41.7879,-87.5878,Private room,227,2.15,$100 - $300
1,4.7,1.0,1.0,Rental,92,West Town,41.90166,-87.68021,Entire home/apt,505,2.92,<$100
2,4.65,2.0,1.0,Rental,170,Lincoln Park,41.91196,-87.63981,Entire home/apt,72,0.63,$100 - $300
3,4.93,1.0,1.0,Boutique,329,Lincoln Park,41.92357,-87.64947,Private room,15,0.15,>$300
4,4.29,1.0,1.0,Rental,61,Lincoln Park,41.925961,-87.656364,Entire home/apt,42,0.26,<$100
5,4.3,2.0,1.0,Rental,95,Lincoln Park,41.92499,-87.65573,Entire home/apt,51,0.32,<$100
6,4.77,3.0,2.0,Loft,154,Logan Square,41.92137,-87.67932,Entire home/apt,187,1.2,$100 - $300
7,4.99,1.0,5.0,Home,110,Uptown,41.97303,-87.66567,Private room,250,1.56,$100 - $300
8,4.88,1.0,1.0,Rental,94,West Town,41.89615,-87.67934,Private room,106,0.71,<$100
9,4.88,1.0,1.0,Rental,93,West Town,41.89615,-87.67934,Private room,131,0.87,<$100
10,5.0,1.0,1.0,Rental,105,Edgewater,41.9796,-87.66512,Entire home/apt,17,1.22,$100 - $300
11,4.78,3.0,2.0,Rental,204,North Center,41.94342,-87.68121,Entire home/apt,72,0.75,$100 - $300
12,4.78,4.0,2.0,Rental,259,Lincoln Park,41.91289,-87.63864,Entire home/apt,86,0.85,$100 - $300
13,4.95,2.0,1.0,Rental,250,Logan Square,41.92918,-87.70219,Entire home/apt,624,4.27,$100 - $300
14,4.9,1.0,1.0,Rental,100,Pullman,41.68843,-87.60712,Entire home/apt,313,2.14,$100 - $300
15,4.91,1.0,1.0,Place,50,Pullman,41.68954,-87.60786,Entire home/apt,46,0.32,<$100
16,5.0,2.0,1.0,Rental,100,Pullman,41.68912,-87.60725,Entire home/apt,4,0.03,$100 - $300
17,4.91,1.0,1.0,Home,88,Logan Square,41.92589,-87.69737,Private room,24,0.18,<$100
18,4.84,2.0,1.0,Condo,170,Near South Side,41.85923,-87.62198,Entire home/apt,39,0.27,$100 - $300
19,4.9,1.0,1.0,Rental,48,West Ridge,42.0076,-87.6825,Entire home/apt,30,0.21,<$100
20,4.84,2.0,5.0,Condo,175,Near West Side,41.88413,-87.64315,Entire home/apt,67,0.48,$100 - $300
21,4.78,1.0,1.0,Condo,32,Edgewater,41.97806,-87.65676,Private room,66,0.46,<$100
22,4.84,3.0,5.0,Rental,130,Bridgeport,41.82712,-87.64046,Entire home/apt,50,0.35,$100 - $300
23,4.74,2.0,5.0,Rental,146,Bridgeport,41.82741,-87.63934,Entire home/apt,39,0.36,$100 - $300
24,4.96,1.0,1.0,Condo,100,Kenwood,41.80774,-87.59459,Private room,281,2.01,$100 - $300
25,4.9,2.0,2.0,Loft,175,Lake View,41.94107,-87.65492,Entire home/apt,706,5.03,$100 - $300
26,4.85,3.0,3.0,Home,269,West Town,41.89629,-87.65704,Entire home/apt,284,2.15,$100 - $300
27,4.52,2.0,1.0,Rental,148,West Town,41.88947,-87.66933,Entire home/apt,217,1.59,$100 - $300
28,4.72,1.0,1.0,Condo,119,Loop,41.86765,-87.62271,Private room,38,0.27,$100 - $300
